Code,Site,Sn50,,Sn347,,Sn262,,Sn463,,Sn558b,,Sn1015,,Sn1618,
PL-1,PL,134,134,116,116,148,148,88,91,88,90,144,150,136,169
PL-10,PL,134,134,116,116,148,152,88,91,86,88,146,146,136,136
PL-11,PL,134,134,116,116,148,148,88,91,88,88,144,144,139,139
PL-12,PL,134,134,116,116,148,148,0,0,86,90,146,146,151,151
PL-13,PL,132,134,116,116,148,148,82,91,86,86,144,144,136,136
PL-14,PL,134,134,116,116,148,148,88,103,90,92,144,150,136,136
PL-15,PL,134,134,116,116,148,148,85,88,86,92,152,154,151,151
PL-2a,PL,134,134,116,116,148,148,0,0,88,90,146,146,139,145
PL-2,PL,134,134,116,116,148,148,82,82,88,88,146,146,142,160
PL-3,PL,138,138,116,116,148,148,0,0,88,88,146,146,136,136
PL-4,PL,134,138,116,116,148,148,88,88,86,92,144,144,136,160
PL-5,PL,134,134,116,116,148,148,85,88,0,0,146,146,136,136
PL-6,PL,134,134,116,116,148,148,91,91,86,88,146,146,136,136
PL-7,PL,134,134,116,116,148,148,82,94,86,88,144,144,136,136
PL-8,PL,134,134,116,116,148,148,85,88,86,90,144,144,160,160
PL-9,PL,134,134,118,118,148,148,0,0,86,90,146,146,136,136
BTL-1,BTL,134,134,114,118,148,148,88,88,88,88,144,146,133,133
BTL-10,BTL,128,134,114,118,148,148,88,91,86,90,144,144,133,136
BTL-11,BTL,128,128,114,114,152,152,88,88,92,92,140,142,136,136
BTL-12,BTL,128,128,114,116,148,148,88,88,86,88,144,152,133,133
BTL-2,BTL,128,134,114,114,148,148,88,88,88,88,142,142,136,136
BTL-3,BTL,128,134,114,116,180,180,88,88,86,92,144,144,133,136
BTL-4,BTL,128,128,114,118,180,180,85,88,86,86,144,144,133,136
BTL-5,BTL,128,128,114,114,152,152,88,88,86,86,144,144,136,163
BTL-6,BTL,128,128,114,114,148,148,88,91,86,88,142,144,136,163
BTL-7,BTL,128,128,114,118,148,148,88,88,90,92,150,154,136,136
BTL-8,BTL,128,128,118,118,148,148,88,88,86,86,150,154,136,136
BTL-9,BTL,128,128,114,118,148,148,88,91,86,86,144,152,136,136
JT-1,JT,134,134,114,114,146,148,85,88,86,88,146,146,136,139
JT-10,JT,134,134,116,118,148,152,88,91,82,86,144,146,133,133
JT-11,JT,134,134,118,118,148,148,91,91,84,88,144,146,136,136
JT-12,JT,134,134,116,118,154,154,91,91,86,88,144,146,133,136
JT-13,JT,134,134,100,116,146,152,85,88,84,88,144,144,133,133
JT-14,JT,134,134,112,112,144,144,0,0,86,88,144,144,133,133
JT-15,JT,134,134,112,118,148,158,0,0,86,88,144,144,133,136
JT-16,JT,134,134,118,122,148,152,0,0,88,88,144,144,133,157
JT-17,JT,134,134,118,118,152,158,85,91,86,86,144,144,136,157
JT-18a,JT,134,134,116,118,148,148,0,0,86,86,146,146,133,157
JT-18,JT,134,134,116,118,150,150,85,91,82,86,146,146,133,133
JT-19,JT,134,134,116,116,148,148,88,91,86,86,146,146,133,133
JT-2a,JT,134,134,116,118,148,148,85,88,86,86,0,0,133,136
JT-2,JT,128,140,116,118,150,150,85,88,82,86,146,146,133,136
JT-20,JT,134,134,118,122,150,150,85,94,86,86,146,146,157,172
JT-3,JT,128,134,116,116,148,148,88,91,86,86,144,146,133,136
JT-4,JT,134,134,118,118,148,148,85,88,86,88,144,146,133,133
JT-5,JT,134,134,116,116,148,148,85,88,86,88,144,146,133,133
JT-6,JT,134,134,116,118,146,146,0,0,86,86,146,146,133,136
JT-7,JT,134,134,112,118,148,148,91,91,86,88,144,144,133,133
JT-8,JT,134,134,116,118,148,148,88,88,82,86,144,144,133,136
JT-9,JT,128,134,118,118,154,154,0,0,86,88,146,146,139,223
AH-1a,AzH,134,134,118,118,148,148,85,88,86,86,146,146,136,139
AH-5a,AzH,134,138,118,118,158,158,91,97,86,88,144,144,133,136
AH-6.1a,AzH,134,134,112,118,148,148,85,88,88,88,144,146,142,142
AZ-1,AzH,134,134,112,118,148,148,88,88,86,86,144,144,136,136
AZ-10,AzH,134,134,114,114,148,148,88,88,86,86,144,148,136,136
AZ-11,AzH,134,134,116,118,0,0,88,91,86,86,0,0,133,136
AZ-12,AzH,134,134,112,112,148,148,85,91,86,86,144,146,136,139
AZ-13,AzH,134,134,112,118,148,148,0,0,86,92,146,146,133,169
AZ-14,AzH,134,138,118,118,148,164,91,100,86,88,144,144,172,172
AZ-15,AzH,134,134,118,118,164,164,88,88,88,88,144,144,172,172
AZ-16a,AzH,134,134,116,118,146,146,0,0,88,88,144,146,157,157
AZ-16,AzH,126,134,116,118,150,164,85,100,88,88,146,148,154,154
AZ-2a,AzH,144,144,0,0,148,148,0,0,86,86,146,146,133,136
AZ-2,AzH,134,134,116,118,148,148,88,88,0,0,144,146,133,154
AZ-3a,AzH,134,134,116,118,148,148,0,0,86,88,146,146,136,136
AZ-3,AzH,134,134,118,118,148,148,88,100,86,86,144,144,136,136
AZ-4a,AzH,136,142,106,106,148,154,88,88,86,88,144,144,133,133
AZ-4,AzH,134,134,112,116,154,154,88,88,86,86,142,142,133,133
AZ-5,AzH,134,134,116,118,148,158,0,0,88,88,144,144,133,136
AZ-6.2a,AzH,0,0,118,118,146,148,91,97,86,88,144,144,133,136
AZ-6,AzH,134,134,114,114,148,148,85,91,88,92,146,146,136,136
AZ-7,AzH,134,134,116,118,148,148,88,91,86,96,146,146,133,133
AZ-8,AzH,134,140,0,0,0,0,91,100,86,86,146,146,133,133
AZ-9a,AzH,134,134,0,0,144,148,88,91,86,86,144,144,133,139
AZ-9,AzH,134,134,114,118,148,148,88,91,88,88,146,146,136,154
AL-10.1,ALE,140,140,116,116,148,148,88,91,86,88,144,144,136,139
AL-11,ALE,134,134,116,116,148,148,0,0,88,88,148,148,136,136
AL-12,ALE,134,140,98,116,148,148,91,91,88,88,144,144,136,139
AL-14.1,ALE,140,140,114,116,148,150,88,91,86,88,146,148,136,136
AL-15.1,ALE,134,134,118,118,148,148,88,91,86,88,146,146,136,136
AL-16,ALE,134,134,116,118,142,142,0,0,86,86,0,0,139,139
AL-17,ALE,0,0,118,118,148,148,88,94,86,86,146,146,139,139
AL-2.1,ALE,134,140,116,116,148,148,91,94,88,88,0,0,136,136
AL-4.1,ALE,134,134,116,118,148,148,0,0,88,88,148,148,139,139
AL-6.1,ALE,134,134,114,116,148,148,0,0,88,88,148,148,136,136
AL-9.1,ALE,134,134,118,118,148,148,91,94,88,88,148,148,139,139
ALE-1 ,ALE,134,134,118,118,148,148,85,88,86,88,144,144,139,139
ALE-10.2,ALE,140,140,116,116,148,148,88,91,86,88,142,144,136,139
ALE-14.2,ALE,134,134,116,116,148,148,94,94,88,88,146,148,136,136
ALE-15.2,ALE,140,140,116,116,148,148,91,94,86,86,142,144,136,136
ALE-1a,ALE,134,134,116,116,148,150,91,94,86,88,144,144,136,139
ALE-2.2,ALE,134,134,116,118,148,148,88,94,86,88,148,148,172,172
ALE-3,ALE,134,134,114,116,148,148,82,91,88,88,144,146,139,139
ALE-3a,ALE,134,134,114,118,148,148,88,94,86,88,146,146,136,139
ALE-4.2,ALE,134,140,118,118,148,148,91,91,86,86,144,148,136,136
ALE-5,ALE,134,134,112,116,148,150,88,94,86,88,142,144,136,172
ALE-5a,ALE,134,140,116,116,148,148,85,94,84,88,146,146,136,160
ALE-6.2,ALE,134,134,116,118,148,148,88,91,90,90,144,144,136,136
ALE-7,ALE,134,140,116,118,148,148,88,88,90,90,144,148,136,136
ALE-8,ALE,134,134,118,118,148,148,91,91,88,88,144,144,136,139
ALE-9.2,ALE,134,134,118,118,148,148,91,94,86,88,148,148,139,139
ALM-1 ,ALM,140,140,116,116,148,148,85,85,86,88,146,146,136,139
ALM-10,ALM,134,134,118,118,148,148,91,91,86,86,146,148,139,139
ALM-1A,ALM,134,134,116,118,148,148,88,88,86,86,146,146,133,136
ALM-2,ALM,128,134,118,118,148,148,91,94,86,88,148,148,142,160
ALM-2A,ALM,134,140,116,118,148,148,88,91,86,90,146,146,136,136
ALM-3,ALM,128,134,118,118,148,148,94,94,86,86,146,148,136,136
ALM-4,ALM,134,134,114,118,148,148,88,94,86,88,144,144,160,160
ALM-5,ALM,134,134,118,118,150,150,88,97,86,86,144,144,139,139
ALM-6,ALM,140,140,114,118,148,148,88,91,86,86,144,144,133,136
ALM-7,ALM,134,134,116,118,148,148,88,91,0,0,144,146,139,139
ALM-8,ALM,128,134,118,118,150,150,88,94,86,90,144,144,139,139
ALM-9,ALM,128,134,114,116,148,148,91,94,86,86,144,146,139,139
ALW-1a,ALW,134,140,116,116,148,148,88,91,86,90,146,146,139,139
ALW-1,ALW,134,134,116,116,148,148,91,91,86,86,146,146,136,136
ALW-10,ALW,134,134,114,114,148,156,85,88,92,96,146,146,133,139
ALW-11a,ALW,134,134,118,122,148,152,88,91,88,90,146,146,133,139
ALW-11,ALW,134,134,114,122,148,152,91,91,86,90,146,146,133,133
ALW-12,ALW,134,144,116,116,0,0,0,0,86,86,146,146,133,139
ALW-13a,ALW,134,134,98,118,0,0,0,0,90,90,146,146,136,136
ALW-13,ALW,134,134,98,118,148,148,91,91,90,90,144,146,136,136
ALW-14,ALW,134,134,116,118,148,148,88,91,86,88,146,146,139,160
ALW-15a,ALW,134,134,114,116,148,152,88,91,86,90,146,146,133,133
ALW-15,ALW,134,134,114,116,148,152,88,91,88,88,146,146,133,133
ALW-2b,ALW,134,134,118,118,148,148,0,0,90,90,146,146,133,136
ALW-2,ALW,134,134,116,116,148,148,88,91,88,88,146,146,133,133
ALW-2a,ALW,134,134,116,116,148,148,88,91,84,86,148,148,133,133
ALW-3,ALW,134,134,116,122,148,148,88,91,88,88,144,146,133,133
ALW-3a,ALW,134,134,118,122,148,148,88,91,86,86,144,148,133,160
ALW-4,ALW,134,140,116,116,148,148,88,91,86,90,146,146,139,139
ALW-5a,ALW,126,126,116,116,0,0,0,0,86,88,146,146,133,136
ALW-5,ALW,134,134,114,116,0,0,85,88,90,90,144,146,133,136
ALW-6a,ALW,134,134,118,122,148,148,88,91,86,86,146,146,136,139
ALW-6,ALW,134,134,118,122,148,148,82,82,84,84,144,146,136,139
ALW-7a,ALW,134,134,118,118,0,0,85,91,86,86,146,146,133,139
ALW-7,ALW,134,134,118,118,148,148,88,91,86,86,146,146,133,139
ALW-8,ALW,134,134,116,118,148,148,88,91,86,86,146,146,133,136
ALW-9,ALW,134,134,116,118,148,148,88,88,86,90,146,146,133,133
LSGR-1,LSGR,134,134,116,116,166,166,88,100,84,88,144,146,136,136
LSGR-10,LSGR,128,134,116,116,148,148,88,100,86,86,144,144,136,136
LSGR-2,LSGR,128,128,104,104,148,168,88,88,88,96,144,146,136,136
LSGR-3,LSGR,128,134,116,118,166,166,88,91,86,88,144,146,136,136
LSGR-4,LSGR,128,128,116,116,148,166,88,88,86,88,144,146,136,136
LSGR-5,LSGR,128,128,116,118,148,148,88,88,86,88,144,144,136,136
LSGR-6,LSGR,128,134,116,116,148,148,88,94,86,90,144,144,136,136
LSGR-7,LSGR,128,134,116,118,136,136,88,88,84,88,144,144,136,136
LSGR-8,LSGR,134,134,116,118,148,148,88,88,86,88,144,146,136,136
LSGR-9,LSGR,128,134,116,116,148,148,88,100,86,86,144,144,136,136
PMC-1,PMC,128,134,116,116,148,148,0,0,84,88,146,146,136,139
PMC-10,PMC,128,134,118,118,152,152,88,88,90,90,146,146,136,175
PMC-2,PMC,0,0,118,118,152,152,88,88,86,88,154,154,136,139
PMC-3,PMC,128,134,114,114,152,152,88,91,86,86,148,148,136,136
PMC-4,PMC,134,134,112,112,148,152,85,88,86,88,146,146,139,139
PMC-5,PMC,0,0,112,116,152,152,88,88,88,88,144,144,136,136
PMC-6,PMC,128,134,118,118,156,156,0,0,88,88,146,146,163,163
PMC-7,PMC,128,140,118,118,0,0,88,91,86,90,144,144,136,139
PMC-8,PMC,128,134,116,116,154,154,88,88,90,90,144,144,136,139
PMC-9,PMC,128,134,116,118,152,152,88,88,86,90,144,144,136,136
SGR-1a,SGR,134,134,110,110,148,148,0,0,86,88,146,146,136,136
SGR-1,SGR,128,134,116,116,148,158,88,97,86,86,144,144,136,139
SGR-10,SGR,128,134,116,118,152,152,85,88,86,88,146,146,136,139
SGR-11,SGR,128,134,116,118,148,148,88,88,86,86,146,150,148,148
SGR-12,SGR,128,134,116,116,148,148,88,100,88,90,144,146,136,160
SGR-2a,SGR,128,134,0,0,152,152,88,97,88,88,144,144,139,139
SGR-2,SGR,128,134,116,116,152,152,85,97,88,88,144,144,136,145
SGR-3a,SGR,134,134,116,118,148,148,88,88,88,88,146,146,136,139
SGR-3,SGR,134,134,116,116,148,152,88,88,90,90,144,144,136,136
SGR-4a,SGR,128,128,88,88,150,154,85,103,86,86,142,142,133,133
SGR-4,SGR,128,134,116,116,152,152,88,88,88,88,146,146,136,136
SGR-5a,SGR,134,134,116,118,148,148,0,0,88,88,144,144,136,139
SGR-5,SGR,128,134,116,118,148,148,88,88,86,88,144,146,136,136
SGR-6a,SGR,134,134,116,118,146,150,88,88,88,88,144,144,136,139
SGR-6,SGR,128,128,118,118,148,148,85,88,86,86,144,144,136,136
SGR-7,SGR,128,128,116,118,148,152,88,97,86,86,144,144,139,139
SGR-8a,SGR,134,134,106,116,148,150,0,0,88,88,146,146,136,139
SGR-8,SGR,128,128,116,118,180,180,85,88,88,88,144,150,139,160
SGR-9,SGR,128,134,116,118,152,152,88,97,86,90,144,150,136,136
LV-1a,LV,128,128,108,108,144,152,0,0,90,90,152,152,142,142
LV-1,LV,128,128,108,108,148,148,85,103,90,90,146,148,0,0
LV-10,LV,128,128,108,108,148,148,85,88,86,92,144,148,136,148
LV-11a,LV,128,132,116,120,148,148,88,88,88,88,152,152,136,145
LV-11,LV,128,132,108,108,148,148,88,88,86,86,150,150,136,145
LV-12a,LV,128,128,108,108,148,148,88,91,88,88,144,152,145,148
LV-12,LV,128,128,108,108,148,148,88,91,88,88,144,150,145,148
LV-13,LV,128,128,108,108,148,148,0,0,88,90,150,150,136,136
LV-2,LV,134,134,118,118,148,148,85,88,90,90,148,150,136,160
LV-3,LV,128,128,108,108,148,148,85,85,90,90,144,146,136,136
LV-4a,LV,128,134,108,108,148,148,85,88,88,88,150,150,136,136
LV-4,LV,128,134,108,108,148,148,88,88,86,86,146,148,136,136
LV-5a,LV,128,128,108,108,148,148,0,0,90,90,152,152,136,136
LV-5,LV,128,128,108,108,148,148,85,88,90,90,148,150,136,136
LV-6a,LV,128,128,108,108,148,148,0,0,90,90,150,150,136,142
LV-6,LV,128,128,108,108,148,148,88,94,88,88,148,150,136,142
LV-7,LV,128,128,108,108,148,148,85,85,90,90,144,144,136,136
LV-8,LV,128,128,108,108,148,148,94,94,88,88,144,146,136,148
LV-9a,LV,128,128,108,108,148,148,0,0,90,90,152,152,136,145
LV-9,LV,128,128,108,108,148,148,88,97,88,88,148,150,136,145